seq,date,status,signature,resolution,violation,violated_requirement,fine,rodo_articles,summary
426,2022-08-31,PRAWOMOCNA,DKE.561.19.2022,udziela upomnienia Pani I. N. prowadzącej działalność gospodarczą pod firmą D. za naru-,,podstawa prawna przetwarzania (art. 6 RODO),,art.58ust.1lit.a;art.6ust.1lit.c;art.14;art.15;art.13;art.83ust5lit.e;art.57ust.1lit.a;art.51;art.57ust1lit.f;art.58ust.1;art.31;art.83ust.5lit.e;art.58ust.2lit.b;art.83ust.1,"DKE.561.19.2022 — 2022-08-31 — PRAWOMOCNA: udziela upomnienia Pani I. N. prowadzącej działalność gospodarczą pod firmą D. za naru-. Naruszony wymóg: podstawa prawna przetwarzania (art. 6 RODO). Artykuły RODO (wykryte): art.58ust.1lit.a, art.6ust.1lit.c, art.14, art.15, art.13, art.83ust5lit.e, art.57ust.1lit.a, art.51, art.57ust1lit.f, art.58ust.1, art.31, art.83ust.5lit.e, art.58ust.2lit.b, art.83ust.1."
427,2022-12-30,PRAWOMOCNA,DKE.561.20.2022,nakłada na K. S.A. z siedzibą w K. ul. (…) administracyjną karę pieniężną w kwocie 27,stwierdzając naruszenie przez K,warunki zgody (art. 7 RODO),,art.83ust.5lit.e;art.58ust.1lit.a;art.57ust.1lit.a;art.51;art.57ust.1lit.f;art.58ust.1;art.58ust.1lit.e;art.83ust.2;art.83ust.1;art.83;art.58ust.1lita;art.83ust.2lit.a;art.83ust.2lit.b;art.83ust.2lit.e;art.83ust.2lite;art.83ust.2lit.f;art.83ust.2lit.c;art.83ust.2lit.d;art.83ust.2lit.i;art.58ust.2;art.83ust.2lit.j;art.83ust.2lit.k,"DKE.561.20.2022 — 2022-12-30 — PRAWOMOCNA: nakłada na K. S.A. z siedzibą w K. ul. (…) administracyjną karę pieniężną w kwocie 27. Naruszenie: stwierdzając naruszenie przez K. Naruszony wymóg: warunki zgody (art. 7 RODO). Artykuły RODO (wykryte): art.83ust.5lit.e, art.58ust.1lit.a, art.57ust.1lit.a, art.51, art.57ust.1lit.f, art.58ust.1, art.58ust.1lit.e, art.83ust.2, art.83ust.1, art.83, art.58ust.1lita, art.83ust.2lit.a, art.83ust.2lit.b, art.83ust.2lit.e, art.83ust.2lite, art.83ust.2lit.f, art.83ust.2lit.c, art.83ust.2lit.d, art.83ust.2lit.i, art.58ust.2, art.83ust.2lit.j, art.83ust.2lit.k."
428,2022-10-28,PRAWOMOCNA,DKE.561.21.2022,"udziela upomnienia T. Sp. z o.o. z siedzibą w W. przy ul. (…), za naruszenie przepisów",udziela upomnienia T,współpraca z organem nadzorczym (art. 31 RODO),,art.15;art.15ust.1;art.83ust.5lit.e;art.58ust.1lit.a;art.57ust.1lit.a;art.51;art.58ust.1;art.31;art.58ust.2lit.b;art.83ust.2,"DKE.561.21.2022 — 2022-10-28 — PRAWOMOCNA: udziela upomnienia T. Sp. z o.o. z siedzibą w W. przy ul. (…), za naruszenie przepisów. Naruszenie: udziela upomnienia T. Naruszony wymóg: współpraca z organem nadzorczym (art. 31 RODO). Artykuły RODO (wykryte): art.15, art.15ust.1, art.83ust.5lit.e, art.58ust.1lit.a, art.57ust.1lit.a, art.51, art.58ust.1, art.31, art.58ust.2lit.b, art.83ust.2."
429,2022-09-27,PRAWOMOCNA,DKE.561.22.2022,"udziela upomnienia Z. Sp. z o.o., za naruszenie przepisów art. 31 i art. 58 ust. 1 lit. a) i",udziela upomnienia Z,współpraca z organem nadzorczym (art. 31 RODO),,art.83ust.4lit.a;art.83ust.5lit.e;art.57ust.1lit.a;art.51;art.58ust.1;art.58ust.1lit.a;art.58ust.1lit.e;art.58ust.2;art.31;art.58ust.2lit.b;art.83ust.2,"DKE.561.22.2022 — 2022-09-27 — PRAWOMOCNA: udziela upomnienia Z. Sp. z o.o., za naruszenie przepisów art. 31 i art. 58 ust. 1 lit. a) i. Naruszenie: udziela upomnienia Z. Naruszony wymóg: współpraca z organem nadzorczym (art. 31 RODO). Artykuły RODO (wykryte): art.83ust.4lit.a, art.83ust.5lit.e, art.57ust.1lit.a, art.51, art.58ust.1, art.58ust.1lit.a, art.58ust.1lit.e, art.58ust.2, art.31, art.58ust.2lit.b, art.83ust.2."
430,2022-09-22,PRAWOMOCNA,DKE.561.23.2022,"udziela upomnienia Pani B. P. prowadzącej działalność gospodarczą pod firmą P., za naru-",,współpraca z organem nadzorczym (art. 31 RODO),,art.83ust.5lit.e;art.57ust.1lit.a;art.51;art.58ust.1;art.31;art.83ust5lite;art.83ust.4lit.a;art.58ust.2lit.b;art.58ust.1lit.e;art.58ust.1lit.a;art.83ust.2,"DKE.561.23.2022 — 2022-09-22 — PRAWOMOCNA: udziela upomnienia Pani B. P. prowadzącej działalność gospodarczą pod firmą P., za naru-. Naruszony wymóg: współpraca z organem nadzorczym (art. 31 RODO). Artykuły RODO (wykryte): art.83ust.5lit.e, art.57ust.1lit.a, art.51, art.58ust.1, art.31, art.83ust5lite, art.83ust.4lit.a, art.58ust.2lit.b, art.58ust.1lit.e, art.58ust.1lit.a, art.83ust.2."
431,2023-01-25,PRAWOMOCNA,DKE.561.24.2022,nakłada na E. Spółka z o.o. z siedzibą we W. przy ul. (…) administracyjną karę pieniężną,,zasady przetwarzania danych (art. 5 RODO),,art.58ust.2;art.57ust.1;art.58ust.2lit.i;art.83ust.6;art.5ust.2;art.83ust.2;art.83ust.1;art.83;art.83ust.2lit.a;art.83ust.2lit.b;art.83ust.2lit.f;art.83ust.2lit.c;art.83ust.2lit.d;art.83ust.2lit.g;art.83ust.2lit.e;art.83ust.2lit.h;art.83ust.2lit.i;art.83ust.2lit.j;art.83ust.2lit.k,"DKE.561.24.2022 — 2023-01-25 — PRAWOMOCNA: nakłada na E. Spółka z o.o. z siedzibą we W. przy ul. (…) administracyjną karę pieniężną. Naruszony wymóg: zasady przetwarzania danych (art. 5 RODO). Artykuły RODO (wykryte): art.58ust.2, art.57ust.1, art.58ust.2lit.i, art.83ust.6, art.5ust.2, art.83ust.2, art.83ust.1, art.83, art.83ust.2lit.a, art.83ust.2lit.b, art.83ust.2lit.f, art.83ust.2lit.c, art.83ust.2lit.d, art.83ust.2lit.g, art.83ust.2lit.e, art.83ust.2lit.h, art.83ust.2lit.i, art.83ust.2lit.j, art.83ust.2lit.k."
432,2022-12-13,PRAWOMOCNA,DKE.561.25.2022,"udziela upomnienia W. Sp. z o.o. z siedzibą w K. przy ul. (…), za naruszenie przepisów",udziela upomnienia W,współpraca z organem nadzorczym (art. 31 RODO),,art.83ust5lit.b;art.83ust.5lit.e;art.31;art.58ust.1lit.a;art.57ust.1lit.a;art.51;art.58ust.1;art.83ust5lite;art.83ust.4lit.a;art.58ust.2lit.b;art.58ust.1lit.e;art.83ust.2;art.83ust.1,"DKE.561.25.2022 — 2022-12-13 — PRAWOMOCNA: udziela upomnienia W. Sp. z o.o. z siedzibą w K. przy ul. (…), za naruszenie przepisów. Naruszenie: udziela upomnienia W. Naruszony wymóg: współpraca z organem nadzorczym (art. 31 RODO). Artykuły RODO (wykryte): art.83ust5lit.b, art.83ust.5lit.e, art.31, art.58ust.1lit.a, art.57ust.1lit.a, art.51, art.58ust.1, art.83ust5lite, art.83ust.4lit.a, art.58ust.2lit.b, art.58ust.1lit.e, art.83ust.2, art.83ust.1."
433,2022-12-19,PRAWOMOCNA,DKE.561.26.2022,udziela upomnienia Panu M. S. zam. ul. (…) R. za nieprzestrzeganie nakazu orzeczonego,,zasady przetwarzania danych (art. 5 RODO),,art.83ust.6;art.57ust.1lit.a;art.51;art.58ust.2;art.5ust.2;art.58ust.2lit.b;art.83ust.2;art.83ust.1,"DKE.561.26.2022 — 2022-12-19 — PRAWOMOCNA: udziela upomnienia Panu M. S. zam. ul. (…) R. za nieprzestrzeganie nakazu orzeczonego. Naruszony wymóg: zasady przetwarzania danych (art. 5 RODO). Artykuły RODO (wykryte): art.83ust.6, art.57ust.1lit.a, art.51, art.58ust.2, art.5ust.2, art.58ust.2lit.b, art.83ust.2, art.83ust.1."
434,2022-12-02,PRAWOMOCNA,DKE.561.27.2022,udziela upomnienia Pani E. B. prowadzącej działalność gospodarczą pod firmą S z siedzi-,bą w B,współpraca z organem nadzorczym (art. 31 RODO),,art.58ust.1lit.a;art.15ust.1;art.15ust.3;art.83ust5lit.e;art.57ust.1lit.a;art.51;art.57ust.1lit.f;art.58ust.1;art.31;art.83ust.5lit.e;art.58ust.2lit.b;art.83ust.1,"DKE.561.27.2022 — 2022-12-02 — PRAWOMOCNA: udziela upomnienia Pani E. B. prowadzącej działalność gospodarczą pod firmą S z siedzi-. Naruszenie: bą w B. Naruszony wymóg: współpraca z organem nadzorczym (art. 31 RODO). Artykuły RODO (wykryte): art.58ust.1lit.a, art.15ust.1, art.15ust.3, art.83ust5lit.e, art.57ust.1lit.a, art.51, art.57ust.1lit.f, art.58ust.1, art.31, art.83ust.5lit.e, art.58ust.2lit.b, art.83ust.1."
436,2022-12-16,PRAWOMOCNA,DKE.561.29.2022,udziela upomnienia D. Sp. z o.o. z siedzibą w K. przy ul. (…) za naruszenie przepisów art.,udziela upomnienia D,warunki zgody (art. 7 RODO),,art.83ust.5lit.e;art.58ust.1lit.a;art.57ust.1lit.a;art.51;art.57ust.1lit.f;art.58ust.1;art.58ust.1lit.e;art.83ust.2,"DKE.561.29.2022 — 2022-12-16 — PRAWOMOCNA: udziela upomnienia D. Sp. z o.o. z siedzibą w K. przy ul. (…) za naruszenie przepisów art.. Naruszenie: udziela upomnienia D. Naruszony wymóg: warunki zgody (art. 7 RODO). Artykuły RODO (wykryte): art.83ust.5lit.e, art.58ust.1lit.a, art.57ust.1lit.a, art.51, art.57ust.1lit.f, art.58ust.1, art.58ust.1lit.e, art.83ust.2."
438,2022-12-29,NIEPRAWOMOCNA,DKE.561.30.2022,nakłada na S. Sp. z o.o. z siedzibą w W. przy ul. (…) administracyjną karę pieniężną w,stwierdzając naruszenie przez S,współpraca z organem nadzorczym (art. 31 RODO),,art.83ust.5lit.e;art.57ust.1lit.a;art.51;art.33;art.33ust.5;art.58ust.1;art.31;art.83ust.4lit.a;art.83ust.3;art.83ust.2;art.83ust.1;art.83;art.58ust.1lit.a;art.58ust.1lit.e;art.33ust.1;art.83ust.2lit.a;art.83ust.2lit.b;art.83ust.2lit.f;art.83ust.2lit.c;art.25;art.83ust.2lit.d;art.83ust.2lit.e;art.58ust.2;art.83ust.2lit.i;art.83ust.2lit.j;art.40;art.42;art.83ust.2lit.k;art.83ust.4,"DKE.561.30.2022 — 2022-12-29 — NIEPRAWOMOCNA: nakłada na S. Sp. z o.o. z siedzibą w W. przy ul. (…) administracyjną karę pieniężną w. Naruszenie: stwierdzając naruszenie przez S. Naruszony wymóg: współpraca z organem nadzorczym (art. 31 RODO). Artykuły RODO (wykryte): art.83ust.5lit.e, art.57ust.1lit.a, art.51, art.33, art.33ust.5, art.58ust.1, art.31, art.83ust.4lit.a, art.83ust.3, art.83ust.2, art.83ust.1, art.83, art.58ust.1lit.a, art.58ust.1lit.e, art.33ust.1, art.83ust.2lit.a, art.83ust.2lit.b, art.83ust.2lit.f, art.83ust.2lit.c, art.25, art.83ust.2lit.d, art.83ust.2lit.e, art.58ust.2, art.83ust.2lit.i, art.83ust.2lit.j, art.40, art.42, art.83ust.2lit.k, art.83ust.4."
439,2023-01-20,PRAWOMOCNA,DKE.561.31.2022,udziela upomnienia T. Sp. z o.o. z siedzibą w W. przy ul. (…) za naruszenie przepisów art.,udziela upomnienia T,warunki zgody (art. 7 RODO),,art.83ust.5lit.e;art.58ust.1lit.a;art.57ust.1lit.a;art.51;art.57ust.1lit.f;art.58ust.1;art.58ust.1lit.e;art.83ust.2,"DKE.561.31.2022 — 2023-01-20 — PRAWOMOCNA: udziela upomnienia T. Sp. z o.o. z siedzibą w W. przy ul. (…) za naruszenie przepisów art.. Naruszenie: udziela upomnienia T. Naruszony wymóg: warunki zgody (art. 7 RODO). Artykuły RODO (wykryte): art.83ust.5lit.e, art.58ust.1lit.a, art.57ust.1lit.a, art.51, art.57ust.1lit.f, art.58ust.1, art.58ust.1lit.e, art.83ust.2."
440,2023-03-23,PRAWOMOCNA,DKE.561.32.2022,udziela upomnienia Panu M. O. prowadzącemu działalność gospodarczą pod firmą „O” z,siedzibą w I,warunki zgody (art. 7 RODO),,art.58ust.1lita;art.83ust.5lit.e;art.58ust.1lit.a;art.57ust.1lit.a;art.51;art.58ust.1;art.83ust5lite;art.58ust.2lit.b;art.58ust.1lit.e;art.83ust.2;art.83ust.1,"DKE.561.32.2022 — 2023-03-23 — PRAWOMOCNA: udziela upomnienia Panu M. O. prowadzącemu działalność gospodarczą pod firmą „O” z. Naruszenie: siedzibą w I. Naruszony wymóg: warunki zgody (art. 7 RODO). Artykuły RODO (wykryte): art.58ust.1lita, art.83ust.5lit.e, art.58ust.1lit.a, art.57ust.1lit.a, art.51, art.58ust.1, art.83ust5lite, art.58ust.2lit.b, art.58ust.1lit.e, art.83ust.2, art.83ust.1."
441,2023-05-26,PRAWOMOCNA,DKE.561.33.2022,udziela upomnienia M. K. prowadzącej działalność gospodarczą pod firmą M. z siedzibą w,T,współpraca z organem nadzorczym (art. 31 RODO),,art.83ust.5lit.e;art.58ust.1lit.a;art.57ust.1lit.a;art.51;art.58ust.1;art.31;art.58ust.2;art.58ust.2lit.b;art.83ust.2,"DKE.561.33.2022 — 2023-05-26 — PRAWOMOCNA: udziela upomnienia M. K. prowadzącej działalność gospodarczą pod firmą M. z siedzibą w. Naruszenie: T. Naruszony wymóg: współpraca z organem nadzorczym (art. 31 RODO). Artykuły RODO (wykryte): art.83ust.5lit.e, art.58ust.1lit.a, art.57ust.1lit.a, art.51, art.58ust.1, art.31, art.58ust.2, art.58ust.2lit.b, art.83ust.2."
442,2023-01-25,PRAWOMOCNA,DKE.561.35.2022,nakłada na S. Sp. z o.o. z siedzibą w R. przy ul. (…) administracyjną karę pieniężną w,stwierdzając naruszenie przez S,współpraca z organem nadzorczym (art. 31 RODO),,art.58ust.1lit.a;art.83ust.5lit.e;art.57ust.1lit.a;art.51;art.57ust.1lit.f;art.58ust.1;art.31;art.83ust.4lit.a;art.83ust.3;art.83ust.2;art.83ust.1;art.83;art.83ust.2lit.a;art.83ust.2lit.b;art.83ust.2lit.f;art.83ust.2lit.c;art.25;art.83ust.2lit.d;art.83ust.2lit.e;art.58ust.2;art.83ust.2lit.i;art.83ust.2lit.j;art.40;art.42;art.83ust.2lit.k;art.83ust.4,"DKE.561.35.2022 — 2023-01-25 — PRAWOMOCNA: nakłada na S. Sp. z o.o. z siedzibą w R. przy ul. (…) administracyjną karę pieniężną w. Naruszenie: stwierdzając naruszenie przez S. Naruszony wymóg: współpraca z organem nadzorczym (art. 31 RODO). Artykuły RODO (wykryte): art.58ust.1lit.a, art.83ust.5lit.e, art.57ust.1lit.a, art.51, art.57ust.1lit.f, art.58ust.1, art.31, art.83ust.4lit.a, art.83ust.3, art.83ust.2, art.83ust.1, art.83, art.83ust.2lit.a, art.83ust.2lit.b, art.83ust.2lit.f, art.83ust.2lit.c, art.25, art.83ust.2lit.d, art.83ust.2lit.e, art.58ust.2, art.83ust.2lit.i, art.83ust.2lit.j, art.40, art.42, art.83ust.2lit.k, art.83ust.4."
443,2023-05-31,PRAWOMOCNA,DKE.561.37.2022,nakłada na G. Sp. z o.o. z siedzibą w K. przy ul. (…) administracyjną karę pieniężną w,stwierdzając naruszenie przez G,współpraca z organem nadzorczym (art. 31 RODO),,art.58ust.1lit.a;art.83ust.5lit.e;art.57ust.1lit.a;art.51;art.57ust.1lit.f;art.58ust.1;art.58ust.1lit.e;art.31;art.83ust.4lit.a;art.83ust.3;art.83ust.2;art.83ust.1;art.83;art.83ust.2lit.a;art.83ust.2lit.b;art.83ust.2lit.f;art.83ust.2lit.e;art.58ust.2;art.83ust.2lit.i;art.83ust.2lit.j;art.40;art.83ust.2lit.k;art.83ust.2lit.c;art.25;art.83ust.2lit.d;art.83ust.2lit.g,"DKE.561.37.2022 — 2023-05-31 — PRAWOMOCNA: nakłada na G. Sp. z o.o. z siedzibą w K. przy ul. (…) administracyjną karę pieniężną w. Naruszenie: stwierdzając naruszenie przez G. Naruszony wymóg: współpraca z organem nadzorczym (art. 31 RODO). Artykuły RODO (wykryte): art.58ust.1lit.a, art.83ust.5lit.e, art.57ust.1lit.a, art.51, art.57ust.1lit.f, art.58ust.1, art.58ust.1lit.e, art.31, art.83ust.4lit.a, art.83ust.3, art.83ust.2, art.83ust.1, art.83, art.83ust.2lit.a, art.83ust.2lit.b, art.83ust.2lit.f, art.83ust.2lit.e, art.58ust.2, art.83ust.2lit.i, art.83ust.2lit.j, art.40, art.83ust.2lit.k, art.83ust.2lit.c, art.25, art.83ust.2lit.d, art.83ust.2lit.g."
444,2023-06-02,PRAWOMOCNA,DKE.561.38.2022,nakłada na T. sp. z o.o. z siedzibą w K. przy ul. (…) administracyjną karę pieniężną w,stwierdzając naruszenie przez T,współpraca z organem nadzorczym (art. 31 RODO),,art.58ust.1lit.a;art.83ust.5lit.e;art.57ust.1lit.a;art.51;art.57ust.1lit.f;art.58ust.1;art.31;art.83ust.4lit.a;art.83ust.3;art.83ust.2;art.83ust.1;art.83;art.83ust.4;art.4pkt7;art.6ust.1;art.83ust.2lit.a;art.83ust.2lit.b;art.83ust.2lit.f;art.83ust.2lit.e;art.58ust.2;art.83ust.2lit.i;art.83ust.2lit.j;art.40;art.42;art.83ust.2lit.k;art.83ust.2lit.c;art.25;art.83ust.2lit.d,"DKE.561.38.2022 — 2023-06-02 — PRAWOMOCNA: nakłada na T. sp. z o.o. z siedzibą w K. przy ul. (…) administracyjną karę pieniężną w. Naruszenie: stwierdzając naruszenie przez T. Naruszony wymóg: współpraca z organem nadzorczym (art. 31 RODO). Artykuły RODO (wykryte): art.58ust.1lit.a, art.83ust.5lit.e, art.57ust.1lit.a, art.51, art.57ust.1lit.f, art.58ust.1, art.31, art.83ust.4lit.a, art.83ust.3, art.83ust.2, art.83ust.1, art.83, art.83ust.4, art.4pkt7, art.6ust.1, art.83ust.2lit.a, art.83ust.2lit.b, art.83ust.2lit.f, art.83ust.2lit.e, art.58ust.2, art.83ust.2lit.i, art.83ust.2lit.j, art.40, art.42, art.83ust.2lit.k, art.83ust.2lit.c, art.25, art.83ust.2lit.d."
445,2022-03-25,PRAWOMOCNA,DKE.561.4.2022,"udziela upomnienia Panu P. P. prowadzącemu działalność gospodarczą pod firmą D., za",,warunki zgody (art. 7 RODO),,art.83ust.5lit.e;art.58ust.1lit.a;art.57ust.1lit.a;art.51;art.58ust.1;art.83ust5lite;art.83ust.4lit.a;art.58ust.2lit.b;art.58ust.1lit.e;art.83ust.2;art.83ust.1,"DKE.561.4.2022 — 2022-03-25 — PRAWOMOCNA: udziela upomnienia Panu P. P. prowadzącemu działalność gospodarczą pod firmą D., za. Naruszony wymóg: warunki zgody (art. 7 RODO). Artykuły RODO (wykryte): art.83ust.5lit.e, art.58ust.1lit.a, art.57ust.1lit.a, art.51, art.58ust.1, art.83ust5lite, art.83ust.4lit.a, art.58ust.2lit.b, art.58ust.1lit.e, art.83ust.2, art.83ust.1."
446,2022-08-31,PRAWOMOCNA,DKE.561.5.2022,nakłada na niego administracyjną karę pieniężną w kwocie 6 854 PLN (słownie: sześć,stwierdzając naruszenie przez Pana R,współpraca z organem nadzorczym (art. 31 RODO),,art.58ust.1lit.a;art.31;art.58ust.1lit.e;art.83ust.5lit.e;art.57ust.1lit.a;art.51;art.57ust.1lit.f;art.58ust.1;art.83ust.4lit.a;art.83ust.3;art.83ust.2;art.83ust.1;art.83;art.83ust.4;art.4pkt7;art.83ust.2lit.a;art.83ust.2lit.b;art.83ust.2lit.f;art.83ust.2lit.c;art.25;art.83ust.2lit.d;art.83ust.2lit.e;art.83ust.2lit.h;art.58ust.2;art.83ust.2lit.i;art.83ust.2lit.j;art.83ust.2lit.k,"DKE.561.5.2022 — 2022-08-31 — PRAWOMOCNA: nakłada na niego administracyjną karę pieniężną w kwocie 6 854 PLN (słownie: sześć. Naruszenie: stwierdzając naruszenie przez Pana R. Naruszony wymóg: współpraca z organem nadzorczym (art. 31 RODO). Artykuły RODO (wykryte): art.58ust.1lit.a, art.31, art.58ust.1lit.e, art.83ust.5lit.e, art.57ust.1lit.a, art.51, art.57ust.1lit.f, art.58ust.1, art.83ust.4lit.a, art.83ust.3, art.83ust.2, art.83ust.1, art.83, art.83ust.4, art.4pkt7, art.83ust.2lit.a, art.83ust.2lit.b, art.83ust.2lit.f, art.83ust.2lit.c, art.25, art.83ust.2lit.d, art.83ust.2lit.e, art.83ust.2lit.h, art.58ust.2, art.83ust.2lit.i, art.83ust.2lit.j, art.83ust.2lit.k."
447,2022-05-25,PRAWOMOCNA,DKE.561.6.2022,udziela upomnienia J. C. prowadzącą działalność pod firmą (…) za naruszenie przepisów,udziela upomnienia J,współpraca z organem nadzorczym (art. 31 RODO),,art.58ust.1lit.a;art.31;art.83ust5lit.e;art.83ust.5lit.e;art.57ust.1lit.a;art.51;art.57ust1lit.f;art.58ust.1;art.58ust.2lit.b;art.83ust.1,"DKE.561.6.2022 — 2022-05-25 — PRAWOMOCNA: udziela upomnienia J. C. prowadzącą działalność pod firmą (…) za naruszenie przepisów. Naruszenie: udziela upomnienia J. Naruszony wymóg: współpraca z organem nadzorczym (art. 31 RODO). Artykuły RODO (wykryte): art.58ust.1lit.a, art.31, art.83ust5lit.e, art.83ust.5lit.e, art.57ust.1lit.a, art.51, art.57ust1lit.f, art.58ust.1, art.58ust.2lit.b, art.83ust.1."
448,2022-03-25,PRAWOMOCNA,DKE.561.7.2022,"udziela upomnienia S. Sp. z o.o., za naruszenie przepisów art. 58 ust. 1 lit. a) i lit. e) roz-",udziela upomnienia S,prawo dostępu do danych (art. 15 RODO),,art.15ust.1;art.6ust.1lit.c;art.83ust.5lit.e;art.58ust.1lit.a;art.57ust.1lit.a;art.51;art.58ust.1;art.58ust.2lit.b;art.83ust.2,"DKE.561.7.2022 — 2022-03-25 — PRAWOMOCNA: udziela upomnienia S. Sp. z o.o., za naruszenie przepisów art. 58 ust. 1 lit. a) i lit. e) roz-. Naruszenie: udziela upomnienia S. Naruszony wymóg: prawo dostępu do danych (art. 15 RODO). Artykuły RODO (wykryte): art.15ust.1, art.6ust.1lit.c, art.83ust.5lit.e, art.58ust.1lit.a, art.57ust.1lit.a, art.51, art.58ust.1, art.58ust.2lit.b, art.83ust.2."
449,2022-07-18,PRAWOMOCNA,DKE.561.8.2022,udziela upomnienia D. Sp. z o.o. za naruszenie przepisów art. 58 ust. 1 lit. a) i e) rozpo-,udziela upomnienia D,warunki zgody (art. 7 RODO),,art.83ust.5lit.e;art.58ust.1lit.a;art.57ust.1lit.a;art.51;art.57ust1lit.f;art.58ust.1;art.58ust.2lit.b;art.83ust.1,"DKE.561.8.2022 — 2022-07-18 — PRAWOMOCNA: udziela upomnienia D. Sp. z o.o. za naruszenie przepisów art. 58 ust. 1 lit. a) i e) rozpo-. Naruszenie: udziela upomnienia D. Naruszony wymóg: warunki zgody (art. 7 RODO). Artykuły RODO (wykryte): art.83ust.5lit.e, art.58ust.1lit.a, art.57ust.1lit.a, art.51, art.57ust1lit.f, art.58ust.1, art.58ust.2lit.b, art.83ust.1."
450,2022-05-23,PRAWOMOCNA,DKE.561.9.2022,"udziela upomnienia F. z siedzibą w J., za naruszenie przepisów art. 31 oraz art. 58 ust. 1",udziela upomnienia F,współpraca z organem nadzorczym (art. 31 RODO),,art.83ust.5lit.e;art.31;art.58ust.1lit.a;art.57ust.1lit.a;art.51;art.58ust.1;art.83ust5lite;art.83ust.4lit.a;art.58ust.2lit.b;art.58ust.1lit.e;art.83ust.2;art.83ust.1,"DKE.561.9.2022 — 2022-05-23 — PRAWOMOCNA: udziela upomnienia F. z siedzibą w J., za naruszenie przepisów art. 31 oraz art. 58 ust. 1. Naruszenie: udziela upomnienia F. Naruszony wymóg: współpraca z organem nadzorczym (art. 31 RODO). Artykuły RODO (wykryte): art.83ust.5lit.e, art.31, art.58ust.1lit.a, art.57ust.1lit.a, art.51, art.58ust.1, art.83ust5lite, art.83ust.4lit.a, art.58ust.2lit.b, art.58ust.1lit.e, art.83ust.2, art.83ust.1."
451,2025-04-02,PRAWOMOCNA,DKN.5110.14.2022,Udziela (…) w K. z siedzibą w K. przy ul. (…) upomnienia.,stwierdzając naruszenie przez (…) w K,pozycja IOD (art. 38 RODO),,art.38ust.1;art.38ust.2;art.38ust.3;art.38ust.6;art.39ust.1;art.57ust.1lit.a;art.38ust.4;art.38ust6;art.39;art.39ust.1lit.b;art.58ust.2lit.b;art.83ust.2,"DKN.5110.14.2022 — 2025-04-02 — PRAWOMOCNA: Udziela (…) w K. z siedzibą w K. przy ul. (…) upomnienia.. Naruszenie: stwierdzając naruszenie przez (…) w K. Naruszony wymóg: pozycja IOD (art. 38 RODO). Artykuły RODO (wykryte): art.38ust.1, art.38ust.2, art.38ust.3, art.38ust.6, art.39ust.1, art.57ust.1lit.a, art.38ust.4, art.38ust6, art.39, art.39ust.1lit.b, art.58ust.2lit.b, art.83ust.2."
452,2025-04-02,PRAWOMOCNA,DKN.5110.16.2022,stwierdzając naruszenie przez Uniwersytet (…) w siedzibą w D. przy ul. (…) przepisu art.,stwierdzając naruszenie przez Uniwersytet (…) w siedzibą w D,pozycja IOD (art. 38 RODO),,art.38ust.6;art.37ust.1lit.a;art.38ust.2;art.38ust.4;art.38ust6;art.57ust.1lit.a;art.38ust.3;art.39;art.5ust.2;art.58ust.2lit.b;art.83ust.2,"DKN.5110.16.2022 — 2025-04-02 — PRAWOMOCNA: stwierdzając naruszenie przez Uniwersytet (…) w siedzibą w D. przy ul. (…) przepisu art.. Naruszenie: stwierdzając naruszenie przez Uniwersytet (…) w siedzibą w D. Naruszony wymóg: pozycja IOD (art. 38 RODO). Artykuły RODO (wykryte): art.38ust.6, art.37ust.1lit.a, art.38ust.2, art.38ust.4, art.38ust6, art.57ust.1lit.a, art.38ust.3, art.39, art.5ust.2, art.58ust.2lit.b, art.83ust.2."
453,2024-01-10,PRAWOMOCNA,DKN.5110.3.2022,udziela Ministrowi Zdrowia upomnienia.,Stwierdzając naruszenie przez Ministra Nauki (poprzednio: Ministra Edukacji i Nauki) przepisów art,zasady przetwarzania danych (art. 5 RODO),,art.28ust.3;art.4pkt2;Art.5;art.6ust.1;art.5ust.1lit.a;art.9ust.1;art.6ust.3;art.6ust.1lit.c;art.9ust.2;art.9ust.2lit.i;art.6;art.26;art.58ust.2lit.b;art.83ust.2,"DKN.5110.3.2022 — 2024-01-10 — PRAWOMOCNA: udziela Ministrowi Zdrowia upomnienia.. Naruszenie: Stwierdzając naruszenie przez Ministra Nauki (poprzednio: Ministra Edukacji i Nauki) przepisów art. Naruszony wymóg: zasady przetwarzania danych (art. 5 RODO). Artykuły RODO (wykryte): art.28ust.3, art.4pkt2, Art.5, art.6ust.1, art.5ust.1lit.a, art.9ust.1, art.6ust.3, art.6ust.1lit.c, art.9ust.2, art.9ust.2lit.i, art.6, art.26, art.58ust.2lit.b, art.83ust.2."
